distance_from_route_m,deviation_duration_sec,heading_difference_deg,off_route_distance_m,returned_to_route,stop_duration_sec,current_speed_kmh,speed_limit_kmh,overspeed_duration_sec,location_context
0.62,7.51,9.39,17.67,0,0.0,25.34,30,0,traffic_light
31.26,17.79,16.39,19.74,0,70.94,0.88,20,0,bus_stop
2.77,4.5,11.58,4.0,0,0.0,22.14,35,0,traffic_light
2.24,15.16,7.2,6.55,0,0.0,14.15,40,0,traffic_light
60.63,56.97,66.48,580.62,0,0.0,36.69,50,0,bus_stop
2.68,6.11,3.26,29.67,0,0.0,20.33,45,0,school
0.79,10.97,3.87,13.91,0,32.63,0.46,45,0,unknown
13.83,13.96,12.89,4.1,0,0.0,15.66,45,0,traffic_light
6.69,9.7,2.74,16.54,0,0.0,25.03,50,0,depot
11.33,15.58,5.05,8.98,0,0.0,33.36,50,0,unknown
1.45,0.97,3.34,4.62,0,23.55,0.55,50,0,unknown
5.06,15.98,1.66,20.41,0,0.0,11.81,20,0,school
0.05,1.7,10.55,21.14,0,0.0,8.65,45,0,traffic_light
0.66,11.94,3.59,25.25,0,31.61,1.04,30,0,unknown
33.68,7.6,7.62,25.69,0,0.0,11.91,35,0,traffic_light
5.73,8.67,15.82,6.33,0,0.0,40.66,40,0.78,depot
1.32,11.54,3.41,28.44,0,0.0,14.27,50,0,depot
2.19,13.3,7.17,14.3,0,63.25,0.76,50,0,unknown
1.76,6.46,6.79,18.99,0,13.77,0.17,30,0,traffic_light
0.57,8.43,9.83,23.89,0,0.0,36.99,35,3.28,bus_stop
0.51,16.61,10.16,11.59,0,0.0,16.44,20,0,unknown
1.16,5.73,0.48,11.76,0,0.0,26.47,40,0,school
29.98,63.38,22.18,334.2,0,0.0,18.98,20,0,bus_stop
8.84,8.44,4.37,7.15,0,0.0,15.71,40,0,unknown
78.82,62.13,50.43,9.08,1,37.32,0.53,30,0,unknown
10.75,5.3,15.49,9.42,0,0.0,15.47,20,0,bus_stop
5.14,17.16,2.2,11.05,0,0.0,25.67,35,0,unknown
11.45,7.49,17.58,7.33,0,46.91,0.96,40,0,traffic_light
0.62,3.02,16.41,6.56,0,0.0,35.28,35,3.37,bus_stop
3.08,15.89,17.31,14.01,0,0.0,34.35,45,0,unknown
92.97,12.33,20.47,81.86,1,0.0,23.91,30,0,unknown
15.18,13.1,3.02,19.07,0,28.42,0.31,20,0,traffic_light
4.37,4.36,0.27,11.58,0,241.69,0.64,45,0,school
1.56,13.61,7.2,29.51,0,0.0,11.28,30,0,bus_stop
34.12,94.51,66.76,497.87,0,0.0,18.97,20,0,school
1.35,9.9,2.5,24.43,0,0.0,43.75,50,0,unknown
5.03,6.41,13.37,17.74,0,0.0,33.07,50,0,bus_stop
6.01,17.89,3.23,22.4,0,705.4,0.71,30,0,school
1.95,8.49,16.95,18.22,0,164.39,0.71,30,0,bus_stop
5.25,2.66,16.93,0.61,0,0.0,7.1,30,0,school
6.19,1.73,14.98,13.32,0,0.0,7.23,50,0,school
12.44,4.52,13.31,12.31,0,0.0,33.2,40,0,bus_stop
31.52,5.3,17.62,29.85,0,31.93,0.25,45,0,traffic_light
0.96,6.03,9.66,6.23,0,0.0,10.68,20,0,traffic_light
2.99,16.6,4.37,15.26,0,0.0,31.97,40,0,school
7.76,2.25,17.76,19.09,0,0.0,29.04,30,0,bus_stop
5.78,15.06,4.06,20.73,0,0.0,28.07,45,0,depot
7.65,17.22,9.11,24.95,0,0.0,18.71,45,0,unknown
3.43,16.06,6.56,28.36,0,0.0,25.92,40,0,traffic_light
0.21,4.25,3.15,18.53,0,0.0,46.79,50,0,traffic_light
5.52,17.67,2.1,11.93,0,0.0,16.72,30,0,traffic_light
1.88,5.59,0.06,26.72,0,0.0,11.53,50,0,traffic_light
0.78,14.73,15.74,16.63,0,0.0,10.58,40,0,unknown
4.1,17.11,16.49,27.54,0,0.0,14.34,35,0,traffic_light
8.1,7.61,17.85,13.25,0,0.0,9.37,30,0,school
3.91,1.24,12.83,15.72,0,0.0,13.52,20,0,bus_stop
10.96,4.65,14.43,23.58,0,0.0,22.67,30,0,traffic_light
0.6,13.83,4.76,12.81,0,0.0,38.54,40,0,depot
5.25,4.56,10.0,7.55,0,0.0,28.47,45,0,school
18.86,13.1,7.95,10.73,0,0.0,13.45,35,0,traffic_light
17.47,10.82,6.08,9.55,0,0.0,17.12,45,0,school
6.63,10.96,12.16,29.27,0,0.0,30.29,40,0,unknown
5.9,6.45,13.69,11.59,0,0.0,28.04,40,0,unknown
0.16,12.76,9.73,16.34,0,25.93,0.05,35,0,traffic_light
14.01,12.77,0.04,6.55,0,0.0,17.8,40,0,bus_stop
6.64,9.29,11.11,8.67,0,127.83,0.12,45,0,bus_stop
11.07,1.29,10.61,22.05,0,0.0,21.53,20,1.55,bus_stop
13.87,7.36,6.68,20.29,0,0.0,19.1,20,0,bus_stop
93.96,23.18,38.83,4.94,1,13.6,0.77,35,0,unknown
1.11,0.02,14.01,2.84,0,0.0,29.88,40,0,traffic_light
2.71,13.73,12.42,0.93,0,124.89,0.18,40,0,bus_stop
13.64,0.18,10.39,2.78,0,0.0,41.82,40,2.21,bus_stop
8.19,8.35,6.26,23.52,0,59.46,0.65,45,0,bus_stop
7.28,6.54,3.38,5.34,0,60.93,0.3,50,0,bus_stop
27.9,9.62,17.8,10.35,0,35.68,0.34,30,0,traffic_light
1.15,8.18,16.01,28.46,0,0.0,21.67,20,2.85,unknown
2.48,17.49,12.64,24.99,0,11.81,0.38,40,0,traffic_light
0.08,17.72,3.64,18.78,0,41.28,1.12,30,0,unknown
6.69,0.77,15.16,17.27,0,38.93,0.65,40,0,traffic_light
2.93,6.54,9.75,7.62,0,0.0,17.01,20,0,traffic_light
15.26,14.17,7.8,28.0,0,0.0,17.18,20,0,school
0.9,16.48,15.52,28.72,0,0.0,28.76,50,0,bus_stop
21.72,0.16,0.69,29.12,0,20.58,0.26,30,0,traffic_light
6.45,3.23,13.52,8.58,0,14.95,0.24,50,0,traffic_light
3.21,3.87,9.78,17.9,0,0.0,20.53,40,0,unknown
1.91,15.97,13.33,23.54,0,0.0,37.33,35,2.2,unknown
8.96,4.06,5.56,12.19,0,0.0,13.33,40,0,unknown
0.67,0.83,15.0,23.34,0,61.98,0.35,50,0,unknown
9.56,7.54,2.15,20.58,0,0.0,27.95,45,0,traffic_light
17.17,17.09,4.77,20.2,0,242.36,0.97,30,0,bus_stop
28.91,13.51,17.9,2.23,0,179.95,0.33,35,0,bus_stop
6.74,7.27,10.05,0.23,0,159.16,1.16,20,0,school
0.98,0.38,0.92,0.53,0,87.33,0.38,50,0,school
39.06,28.13,37.4,104.64,1,0.0,13.39,45,0,unknown
8.3,1.73,7.57,21.32,0,0.0,31.98,40,0,bus_stop
0.59,3.34,4.42,7.21,0,0.0,16.24,30,0,unknown
25.49,23.33,26.81,45.95,1,0.0,7.09,30,0,bus_stop
6.27,16.45,1.47,29.95,0,0.0,12.53,35,0,bus_stop
4.18,0.37,6.11,14.97,0,44.69,1.03,30,0,traffic_light
4.97,13.23,16.14,5.9,0,0.0,22.46,30,0,depot
5.72,2.16,14.63,25.8,0,122.76,0.15,20,0,bus_stop
4.45,6.13,4.68,27.12,0,676.15,0.8,40,0,school
4.83,14.15,9.33,29.62,0,0.0,9.99,35,0,bus_stop
1.04,2.14,16.09,26.81,0,0.0,36.72,45,0,unknown
9.69,7.32,14.54,15.51,0,0.0,28.17,30,0,unknown
5.25,16.08,16.87,21.13,0,184.45,0.21,45,0,bus_stop
36.42,28.58,43.02,89.05,0,0.0,11.22,35,0,traffic_light
3.37,15.79,11.65,16.27,0,0.0,23.78,50,0,unknown
0.9,16.38,0.98,3.16,0,0.0,10.79,35,0,school
3.17,13.4,13.13,5.84,0,0.0,16.99,30,0,traffic_light
3.53,0.59,9.2,2.87,0,0.0,30.8,30,3.42,school
4.26,0.36,2.31,16.31,0,62.33,0.48,45,0,traffic_light
1.75,8.83,13.98,26.13,0,0.0,13.34,35,0,unknown
8.5,14.46,7.85,26.33,0,23.82,0.06,50,0,unknown
7.24,3.04,16.33,8.1,0,0.0,9.61,40,0,depot
6.32,10.01,7.32,16.36,0,0.0,22.05,45,0,traffic_light
6.91,0.45,3.19,0.05,0,10.19,0.23,40,0,unknown
44.07,90.5,51.07,312.23,1,0.0,12.42,50,0,bus_stop
13.81,2.4,3.85,15.27,0,0.0,16.08,20,0,bus_stop
0.98,3.15,3.89,24.3,0,488.0,1.09,30,0,depot
19.57,9.58,8.74,1.38,0,0.0,35.55,40,0,school
5.13,5.85,12.23,7.68,0,0.0,33.14,35,0,depot
1.19,14.56,15.28,26.56,0,0.0,17.16,20,0,depot
12.41,16.57,8.41,6.72,0,0.0,8.42,40,0,traffic_light
5.98,6.56,8.16,17.13,0,0.0,7.66,35,0,traffic_light
4.39,14.18,12.12,5.0,0,0.0,12.29,30,0,bus_stop
6.42,5.06,5.15,24.86,0,0.0,38.03,45,0,school
2.63,9.71,14.75,27.55,0,0.0,13.43,40,0,traffic_light
3.45,10.67,6.87,2.39,0,0.0,14.64,20,0,unknown
7.58,16.02,10.31,5.13,0,0.0,14.17,45,0,depot
2.83,13.07,17.93,18.5,0,0.0,21.75,40,0,bus_stop
7.74,0.53,13.63,24.37,0,139.2,0.6,45,0,bus_stop
22.39,2.61,11.12,7.83,0,145.32,0.96,20,0,bus_stop
25.98,2.76,15.39,6.52,0,0.0,24.45,50,0,bus_stop
1.27,3.74,7.77,14.24,0,0.0,16.77,40,0,unknown
12.59,3.89,17.9,29.84,0,0.0,18.18,20,0,traffic_light
1.0,6.32,3.1,15.95,0,0.0,25.13,50,0,traffic_light
8.56,9.18,17.01,4.71,0,107.68,0.88,30,0,school
10.28,3.09,10.18,22.3,0,0.0,14.73,45,0,unknown
77.44,65.03,23.97,232.01,1,0.0,12.84,50,0,traffic_light
4.44,8.78,7.28,8.9,0,29.51,0.6,35,0,traffic_light
43.11,8.35,66.48,90.93,1,0.0,39.19,40,0,bus_stop
5.95,17.26,15.1,15.99,0,0.0,20.25,20,1.32,traffic_light
16.48,9.78,17.49,3.34,0,45.56,0.39,35,0,unknown
0.21,12.81,3.57,13.93,0,8.12,0.92,40,0,unknown
3.82,16.54,0.28,1.87,0,525.24,1.12,50,0,depot
2.36,4.73,6.82,11.0,0,0.0,48.52,50,0,school
7.0,2.41,1.24,20.06,0,0.0,18.38,50,0,unknown
12.69,17.05,15.15,16.5,0,0.0,35.07,50,0,traffic_light
2.82,15.86,14.22,5.37,0,0.0,25.16,35,0,school
2.69,17.9,7.52,9.79,0,32.81,0.53,50,0,traffic_light
2.84,4.81,10.92,1.36,0,63.91,0.61,35,0,unknown
10.4,13.59,3.26,8.17,0,0.0,33.97,40,0,traffic_light
2.12,11.61,7.18,6.49,0,0.0,32.39,40,0,unknown
3.75,6.94,11.18,19.74,0,0.0,20.18,50,0,traffic_light
16.94,16.61,3.99,0.85,0,0.0,29.03,40,0,school
5.67,11.58,11.75,2.17,0,0.0,47.87,50,0,traffic_light
3.95,1.22,14.89,19.54,0,0.0,9.33,35,0,bus_stop
20.14,1.88,4.87,24.61,0,392.28,0.38,40,0,school
9.98,9.2,13.13,27.76,0,0.0,25.55,50,0,depot
8.2,12.55,7.19,2.33,0,0.0,12.23,40,0,traffic_light
12.64,9.86,2.31,29.53,0,0.0,9.97,20,0,unknown
6.68,12.18,9.62,24.92,0,62.61,0.56,35,0,unknown
22.89,13.92,2.16,17.82,0,0.0,30.57,45,0,traffic_light
3.92,13.46,6.47,22.87,0,0.0,19.2,40,0,school
9.4,11.53,8.79,16.22,0,452.71,1.09,50,0,school
2.12,5.47,9.34,2.03,0,0.0,39.14,40,0,depot
0.3,3.6,0.24,17.0,0,0.0,29.8,40,0,traffic_light
4.27,0.56,9.56,14.26,0,0.0,26.94,30,0,traffic_light
3.04,10.56,0.53,29.29,0,0.0,28.51,35,0,traffic_light
9.31,9.56,2.53,2.67,0,0.0,15.77,45,0,unknown
2.25,5.75,2.15,9.73,0,0.0,22.77,20,0.83,traffic_light
10.8,17.77,8.69,9.21,0,0.0,34.8,40,0,school
19.88,16.14,16.02,14.64,0,24.17,1.18,35,0,traffic_light
2.45,14.83,10.28,12.48,0,210.11,0.95,35,0,bus_stop
12.39,3.54,10.38,26.43,0,195.37,1.15,30,0,bus_stop
8.33,17.37,14.35,8.47,0,0.0,17.2,20,0,school
1.3,11.71,1.34,4.09,0,709.22,0.46,35,0,depot
3.22,1.25,14.8,20.44,0,233.12,0.17,50,0,depot
2.9,4.24,16.18,22.4,0,0.0,47.31,45,3.68,unknown
62.74,79.3,36.24,519.84,1,0.0,23.6,50,0,bus_stop
26.86,11.3,8.16,9.36,0,30.2,0.06,50,0,traffic_light
8.47,3.7,4.81,16.09,0,0.0,34.57,40,0,traffic_light
6.65,0.6,10.59,5.13,0,25.82,0.41,30,0,unknown
6.28,14.09,12.48,3.43,0,0.0,33.2,35,0,traffic_light
5.74,4.29,4.74,14.95,0,183.96,0.4,35,0,school
19.23,13.13,6.49,19.04,0,0.0,20.1,45,0,traffic_light
0.33,13.34,12.8,2.74,0,0.0,10.56,45,0,depot
3.17,15.5,7.44,0.22,0,0.0,18.33,50,0,bus_stop
93.39,82.0,48.27,951.16,0,0.0,41.76,50,0,traffic_light
11.5,14.57,12.79,23.92,0,0.0,14.39,35,0,unknown
1.49,9.01,10.24,16.13,0,0.0,40.96,50,0,traffic_light
2.28,2.86,5.31,6.79,0,0.0,16.86,40,0,unknown
8.28,1.85,2.82,2.67,0,0.0,7.73,20,0,school
0.55,17.85,6.09,11.97,0,747.99,0.18,20,0,depot
0.15,10.12,16.49,2.63,0,0.0,31.91,30,3.74,depot
11.96,10.58,13.23,29.13,0,0.0,20.5,30,0,depot
19.75,16.01,0.85,11.84,0,27.42,0.6,20,0,traffic_light
6.32,16.89,4.33,12.93,0,0.0,35.74,35,2.32,traffic_light
16.71,15.88,3.44,9.42,0,27.56,0.07,50,0,unknown
7.81,4.45,7.9,8.0,0,0.0,9.89,20,0,depot
7.01,8.25,13.73,22.73,0,28.63,0.23,40,0,traffic_light
11.86,5.49,7.1,16.76,0,0.0,7.36,30,0,traffic_light
4.53,3.31,0.94,9.32,0,0.0,12.49,30,0,bus_stop
1.39,7.47,9.07,0.64,0,0.0,12.96,20,0,depot
11.85,13.29,8.18,12.59,0,0.0,16.23,50,0,school
6.94,13.07,12.23,9.77,0,39.06,0.45,40,0,traffic_light
0.37,1.53,1.06,24.55,0,0.0,37.1,40,0,traffic_light
4.14,7.68,16.22,18.33,0,0.0,14.5,40,0,traffic_light
2.22,10.22,1.79,15.36,0,0.0,8.83,30,0,bus_stop
9.58,13.97,10.19,28.35,0,0.0,15.65,45,0,traffic_light
7.19,0.19,4.57,3.42,0,13.0,0.43,30,0,unknown
1.23,14.24,10.9,28.27,0,7.15,0.97,45,0,unknown
2.47,17.22,6.3,2.99,0,81.29,1.04,40,0,unknown
2.64,6.27,12.46,26.29,0,0.0,44.21,45,0,traffic_light
9.03,8.65,0.8,28.75,0,64.66,0.99,40,0,traffic_light
1.29,11.89,17.35,21.03,0,0.0,11.35,45,0,school
4.93,8.91,6.09,7.91,0,8.41,0.66,50,0,traffic_light
2.13,5.8,2.39,29.46,0,548.38,1.09,50,0,depot
15.14,7.89,14.66,8.13,0,43.04,0.1,30,0,traffic_light
3.64,9.8,10.79,23.58,0,0.0,27.65,30,0,traffic_light
25.08,1.4,0.29,15.19,0,0.0,52.68,50,0.22,traffic_light
1.58,0.59,0.79,26.02,0,0.0,25.46,45,0,unknown
18.17,8.13,9.12,14.53,0,0.0,27.88,50,0,school
93.21,20.28,51.7,43.42,0,0.0,7.71,20,0,bus_stop
4.84,2.28,4.25,23.42,0,0.0,38.49,40,0,bus_stop
18.19,3.1,12.4,10.54,0,0.0,36.99,40,0,bus_stop
2.13,13.74,15.7,5.67,0,12.06,0.66,40,0,unknown
30.78,95.42,18.0,567.85,1,0.0,21.42,20,3.58,traffic_light
7.01,14.95,12.71,16.42,0,0.0,35.42,35,1.32,bus_stop
3.68,8.03,1.15,28.78,0,0.0,8.43,20,0,unknown
7.38,1.8,4.88,29.72,0,0.0,10.24,20,0,traffic_light
10.91,6.08,11.59,15.2,0,0.0,10.31,20,0,traffic_light
9.58,3.39,15.39,4.17,0,0.0,42.54,40,1.31,school
2.51,17.84,15.78,7.41,0,141.45,1.2,50,0,bus_stop
10.91,17.12,4.39,21.46,0,13.75,0.02,40,0,unknown
13.89,2.19,11.01,21.03,0,0.0,31.26,45,0,traffic_light
14.65,1.83,1.48,3.38,0,0.0,32.66,30,2.04,bus_stop
2.71,7.37,3.3,26.21,0,0.0,8.71,20,0,depot
0.86,16.57,7.09,7.97,0,11.42,0.94,50,0,unknown
6.84,8.79,9.38,5.67,0,0.0,26.64,35,0,traffic_light
26.25,3.97,17.86,9.25,0,0.0,42.69,45,0,unknown
0.17,14.77,8.62,7.86,0,0.0,7.14,45,0,school
78.65,34.13,58.09,315.68,1,0.0,33.3,35,0,unknown
0.23,10.19,15.08,23.53,0,0.0,34.44,35,0,school
0.02,3.63,0.59,13.8,0,25.37,0.33,35,0,traffic_light
0.16,4.15,6.9,11.34,0,0.0,37.08,40,0,traffic_light
26.37,86.75,34.41,552.21,1,0.0,22.92,20,1.99,unknown
73.26,53.74,66.89,182.47,0,0.0,12.22,50,0,bus_stop
1.29,5.45,5.74,17.47,0,0.0,19.02,20,0,bus_stop
5.88,4.41,1.59,5.66,0,0.0,18.6,35,0,school
54.91,75.52,17.25,841.7,1,0.0,40.12,50,0,bus_stop
3.35,7.07,17.33,6.42,0,0.0,8.31,40,0,school
15.57,14.7,11.98,21.05,0,0.0,29.69,40,0,unknown
2.44,16.6,2.0,1.21,0,0.0,18.26,45,0,school
2.74,6.58,12.28,17.97,0,0.0,32.43,35,0,unknown
2.23,3.94,2.72,26.89,0,0.0,14.53,30,0,bus_stop
6.28,4.95,0.31,3.69,0,0.0,14.05,40,0,traffic_light
8.45,1.35,3.39,8.17,0,0.0,16.79,40,0,depot
5.66,0.49,12.96,28.48,0,0.0,29.87,30,0,depot
13.84,5.17,6.61,12.92,0,0.0,29.35,30,0,traffic_light
7.49,8.25,1.97,1.57,0,0.0,29.62,35,0,bus_stop
3.33,6.11,6.08,4.34,0,0.0,13.51,20,0,bus_stop
5.98,10.8,7.06,5.8,0,19.15,0.76,30,0,traffic_light
11.94,13.32,3.87,25.42,0,0.0,25.71,40,0,traffic_light
10.36,4.56,7.48,26.1,0,8.08,0.82,40,0,unknown
8.41,6.91,12.23,7.07,0,0.0,25.98,30,0,bus_stop
6.83,9.84,4.82,15.87,0,53.18,0.2,20,0,traffic_light
5.3,16.61,10.89,17.51,0,38.44,0.16,50,0,traffic_light
3.31,13.51,1.86,18.44,0,0.0,10.65,30,0,school
13.61,16.55,2.54,27.26,0,165.42,0.55,20,0,bus_stop
12.44,3.93,14.45,25.13,0,26.91,0.28,50,0,unknown
2.67,10.27,6.1,7.68,0,0.0,45.82,50,0,unknown
6.26,15.42,9.04,8.01,0,227.86,0.34,35,0,school
1.42,9.42,6.84,11.45,0,57.39,0.81,40,0,bus_stop
16.88,13.79,3.69,7.23,0,0.0,21.88,20,3.95,traffic_light
4.26,16.23,15.51,1.52,0,184.24,0.89,40,0,school
2.61,6.46,7.03,21.26,0,0.0,24.55,35,0,traffic_light
3.91,4.82,11.1,2.61,0,0.0,7.8,30,0,bus_stop
0.19,8.43,13.79,7.84,0,64.12,0.33,30,0,unknown
44.95,9.06,15.74,36.15,1,0.0,14.36,45,0,unknown
4.65,16.14,17.56,11.59,0,65.31,0.46,50,0,traffic_light
14.78,6.48,13.23,21.71,0,0.0,9.81,30,0,traffic_light
6.93,1.53,1.76,19.1,0,93.89,0.36,30,0,bus_stop
11.44,5.07,12.28,8.12,0,0.0,30.78,45,0,traffic_light
1.0,1.94,14.99,14.33,0,0.0,18.94,20,0,school
4.89,13.53,0.9,24.15,0,0.0,34.75,45,0,unknown
2.1,1.59,7.66,15.55,0,0.0,42.65,40,3.4,traffic_light
4.39,9.26,11.1,18.0,0,0.0,8.16,30,0,school
87.0,82.28,70.5,8.94,0,206.34,0.39,35,0,school
1.55,4.5,1.9,4.25,0,0.0,21.16,45,0,traffic_light
2.21,7.31,11.2,11.56,0,392.1,1.09,30,0,school
11.54,16.26,16.49,12.33,0,0.0,20.1,20,0.34,traffic_light
2.21,14.57,17.32,21.26,0,265.25,1.18,20,0,depot
1.81,14.44,11.1,7.07,0,96.17,0.74,40,0,school
13.07,14.09,15.26,5.12,0,13.45,0.2,45,0,unknown
26.28,11.3,7.55,1.06,0,0.0,23.1,45,0,unknown
4.71,5.67,4.95,16.0,0,0.0,8.33,40,0,school
6.76,3.14,14.64,4.32,0,0.0,14.93,20,0,unknown
6.5,15.29,6.41,25.46,0,575.99,0.91,40,0,school
3.78,3.57,4.81,19.08,0,0.0,24.28,45,0,traffic_light
1.7,5.13,15.81,9.08,0,193.9,0.21,30,0,school
21.98,5.3,3.77,5.08,0,0.0,13.92,45,0,school
1.35,0.84,1.53,14.24,0,0.0,14.23,45,0,unknown
0.75,12.62,10.99,11.24,0,0.0,34.87,40,0,depot
4.86,15.11,16.3,28.71,0,49.18,0.21,30,0,traffic_light
3.92,13.22,0.53,28.8,0,0.0,35.36,45,0,unknown
1.23,3.37,12.47,9.43,0,0.0,52.53,50,1.68,unknown
0.69,17.35,0.14,29.16,0,20.99,0.39,35,0,unknown
1.22,1.65,5.34,9.53,0,0.0,18.2,45,0,depot
7.0,13.32,9.27,27.06,0,31.12,0.17,50,0,traffic_light
12.6,3.15,9.04,4.2,0,0.0,22.37,45,0,traffic_light
2.06,7.83,11.7,4.82,0,52.46,0.25,40,0,unknown
2.92,12.26,7.95,1.34,0,0.0,19.22,20,0,school
6.43,14.1,9.14,9.3,0,0.0,32.64,45,0,school
1.38,8.0,6.73,7.44,0,9.87,0.26,35,0,unknown
0.66,15.11,4.75,23.8,0,39.8,1.07,45,0,traffic_light
2.28,7.5,1.52,14.87,0,10.49,0.5,40,0,traffic_light
6.01,2.16,13.6,10.13,0,43.03,1.07,20,0,traffic_light
0.46,17.33,6.34,18.67,0,0.0,12.5,30,0,school
0.5,5.26,17.54,6.62,0,38.44,0.12,45,0,traffic_light
8.46,5.28,4.57,10.03,0,0.0,11.3,30,0,unknown
3.38,15.26,0.0,2.84,0,0.0,20.17,20,2.26,unknown
0.42,13.35,16.05,14.06,0,13.86,0.41,30,0,unknown
2.01,3.48,12.74,23.59,0,0.0,30.19,40,0,school
13.06,14.03,15.15,14.13,0,0.0,33.92,40,0,traffic_light
4.83,7.88,11.82,24.33,0,0.0,11.93,35,0,traffic_light
29.21,8.6,16.05,13.1,0,319.67,0.61,35,0,school
0.91,3.06,3.67,23.64,0,0.0,22.69,35,0,traffic_light
3.83,14.38,15.96,8.55,0,0.0,33.39,45,0,traffic_light
8.91,13.09,4.41,7.85,0,0.0,22.04,30,0,traffic_light
18.32,14.89,11.88,0.44,0,17.89,1.0,40,0,unknown
4.7,15.47,13.97,21.01,0,24.88,1.09,30,0,traffic_light
8.46,7.66,10.85,2.5,0,0.0,41.83,50,0,traffic_light
10.07,14.3,14.73,6.0,0,0.0,26.35,30,0,traffic_light
13.55,11.94,5.65,9.01,0,31.18,0.49,45,0,traffic_light
7.86,5.4,17.45,4.57,0,0.0,23.62,30,0,unknown
24.32,14.28,17.32,15.81,0,51.15,1.03,45,0,unknown
2.69,10.29,4.53,26.35,0,34.29,0.18,30,0,unknown
3.72,6.72,5.97,15.12,0,212.76,0.14,35,0,school
